DATE,age,bmr,body_fat,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20140224,29.975342465753425,1680.8079136986303,,0,70.0,2,1.79,,,,,,,,1680.8079136986303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140225,29.97808219178082,1680.7894068493151,,0,70.0,2,1.79,,,,,,,,1680.7894068493151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140226,29.980821917808218,1680.7709,,0,70.0,2,1.79,,,,,,,,1680.7709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140227,29.983561643835618,1680.752393150685,,0,70.0,2,1.79,,,,,,,,1680.752393150685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140228,29.986301369863014,1680.73388630137,,0,70.0,2,1.79,,,,,,,,1680.73388630137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140301,29.98904109589041,1680.7153794520548,,0,70.0,2,1.79,,,,,,,,1680.7153794520548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140302,29.991780821917807,1680.6968726027399,,0,70.0,2,1.79,,,,,,,,1680.6968726027399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140303,29.994520547945207,1680.6783657534247,,0,70.0,2,1.79,,,,,,,,1680.6783657534247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140304,29.997260273972604,1680.6598589041096,,0,70.0,2,1.79,,,,,,,,1680.6598589041096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140305,30.0,1680.6413520547947,,0,70.0,2,1.79,,,,,,,,1680.6413520547947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140306,30.002739726027396,1680.6228452054795,,0,70.0,2,1.79,,,,,,,,1680.6228452054795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140307,30.005479452054793,1680.6043383561644,,0,70.0,2,1.79,,,,,,,,1680.6043383561644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140308,30.008219178082193,1680.5858315068494,,0,70.0,2,1.79,,,,,,,,1680.5858315068494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140309,30.01095890410959,1680.5673246575343,,0,70.0,2,1.79,,,,,,,,1680.5673246575343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140310,30.013698630136986,1680.5488178082192,,0,70.0,2,1.79,,,,,,,,1680.5488178082192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140311,30.016438356164382,1680.5303109589042,,0,70.0,2,1.79,,,,,,,,1680.5303109589042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140312,30.019178082191782,1680.511804109589,,0,70.0,2,1.79,,,,,,,,1680.511804109589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140313,30.02191780821918,1680.4932972602742,,0,70.0,2,1.79,,,,,,,,1680.4932972602742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140314,30.024657534246575,1680.474790410959,,0,70.0,2,1.79,,,,,,,,1680.474790410959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140315,30.027397260273972,1680.4562835616439,,0,70.0,2,1.79,,,,,,,,1680.4562835616439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140316,30.03013698630137,1680.4377767123287,,0,70.0,2,1.79,,,,,,,,1680.4377767123287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140317,30.03287671232877,1680.4192698630138,,0,70.0,2,1.79,,,,,,,,1680.4192698630138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140318,30.035616438356165,1680.4007630136987,,0,70.0,2,1.79,,,,,,,,1680.4007630136987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140319,30.03835616438356,1680.3822561643835,,0,70.0,2,1.79,,,,,,,,1680.3822561643835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140320,30.041095890410958,1680.3637493150686,,0,70.0,2,1.79,,,,,,,,1680.3637493150686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140321,30.043835616438358,1680.3452424657535,,0,70.0,2,1.79,,,,,,,,1680.3452424657535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140322,30.046575342465754,1680.3267356164383,,0,70.0,2,1.79,,,,,,,,1680.3267356164383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140323,30.04931506849315,1680.3082287671234,,0,70.0,2,1.79,,,,,,,,1680.3082287671234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140324,30.052054794520547,1680.2897219178083,,0,70.0,2,1.79,,,,,,,,1680.2897219178083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140325,30.054794520547944,1680.2712150684933,,0,70.0,2,1.79,,,,,,,,1680.2712150684933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140326,30.057534246575344,1680.2527082191782,,0,70.0,2,1.79,,,,,,,,1680.2527082191782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140327,30.06027397260274,1680.234201369863,,0,70.0,2,1.79,,,,,,,,1680.234201369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140328,30.063013698630137,1680.215694520548,,0,70.0,2,1.79,,,,,,,,1680.215694520548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140329,30.065753424657533,1680.197187671233,,0,70.0,2,1.79,,,,,,,,1680.197187671233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140330,30.068493150684933,1680.1786808219179,,0,70.0,2,1.79,,,,,,,,1680.1786808219179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140331,30.07123287671233,1680.160173972603,,0,70.0,2,1.79,,,,,,,,1680.160173972603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140401,30.073972602739726,1680.1416671232878,,0,70.0,2,1.79,,,,,,,,1680.1416671232878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140402,30.076712328767123,1680.1231602739726,,0,70.0,2,1.79,,,,,,,,1680.1231602739726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140403,30.07945205479452,1680.1046534246575,,0,70.0,2,1.79,,,,,,,,1680.1046534246575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140404,30.08219178082192,1680.0861465753426,,0,70.0,2,1.79,,,,,,,,1680.0861465753426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140405,30.084931506849315,1680.0676397260274,,0,70.0,2,1.79,,,,,,,,1680.0676397260274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140406,30.087671232876712,1680.0491328767125,,0,70.0,2,1.79,,,,,,,,1680.0491328767125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140407,30.09041095890411,1680.0306260273974,,0,70.0,2,1.79,,,,,,,,1680.0306260273974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140408,30.09315068493151,1680.0121191780822,,0,70.0,2,1.79,,,,,,,,1680.0121191780822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140409,30.095890410958905,1679.993612328767,,0,70.0,2,1.79,,,,,,,,1679.993612328767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140410,30.0986301369863,1679.9751054794522,,0,70.0,2,1.79,,,,,,,,1679.9751054794522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140411,30.101369863013698,1679.956598630137,,0,70.0,2,1.79,,,,,,,,1679.956598630137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140412,30.104109589041094,1679.938091780822,,0,70.0,2,1.79,,,,,,,,1679.938091780822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140413,30.106849315068494,1679.919584931507,,0,70.0,2,1.79,,,,,,,,1679.919584931507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140414,30.10958904109589,1679.9010780821918,,0,70.0,2,1.79,,,,,,,,1679.9010780821918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140415,30.112328767123287,1679.8825712328767,,0,70.0,2,1.79,,,,,,,,1679.8825712328767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140416,30.115068493150684,1679.8640643835618,,0,70.0,2,1.79,,,,,,,,1679.8640643835618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140417,30.117808219178084,1679.8455575342466,,0,70.0,2,1.79,,,,,,,,1679.8455575342466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140418,30.12054794520548,1679.8270506849317,,0,70.0,2,1.79,,,,,,,,1679.8270506849317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140419,30.123287671232877,1679.8085438356165,,0,70.0,2,1.79,,,,,,,,1679.8085438356165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140420,30.126027397260273,1679.7900369863014,,0,70.0,2,1.79,,,,,,,,1679.7900369863014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140421,30.12876712328767,1679.7715301369863,,0,70.0,2,1.79,,,,,,,,1679.7715301369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140422,30.13150684931507,1679.7530232876713,,0,70.0,2,1.79,,,,,,,,1679.7530232876713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140423,30.134246575342466,1679.7345164383562,,0,70.0,2,1.79,,,,,,,,1679.7345164383562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140424,30.136986301369863,1679.7160095890413,,0,70.0,2,1.79,,,,,,,,1679.7160095890413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140425,30.13972602739726,1679.6975027397261,,0,70.0,2,1.79,,,,,,,,1679.6975027397261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140426,30.14246575342466,1679.678995890411,,0,70.0,2,1.79,,,,,,,,1679.678995890411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140427,30.145205479452056,1679.660489041096,,0,70.0,2,1.79,,,,,,,,1679.660489041096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140428,30.147945205479452,1679.641982191781,,0,70.0,2,1.79,,,,,,,,1679.641982191781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140429,30.15068493150685,1679.6234753424658,,0,70.0,2,1.79,,,,,,,,1679.6234753424658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140430,30.153424657534245,1679.6049684931509,,0,70.0,2,1.79,,,,,,,,1679.6049684931509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140501,30.156164383561645,1679.5864616438357,,0,70.0,2,1.79,,,,,,,,1679.5864616438357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140502,30.15890410958904,1679.5679547945206,,0,70.0,2,1.79,,,,,,,,1679.5679547945206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140503,30.161643835616438,1679.5494479452054,,0,70.0,2,1.79,,,,,,,,1679.5494479452054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140504,30.164383561643834,1679.5309410958905,,0,70.0,2,1.79,,,,,,,,1679.5309410958905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140505,30.167123287671235,1679.5124342465754,,0,70.0,2,1.79,,,,,,,,1679.5124342465754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140506,30.16986301369863,1679.4939273972604,,0,70.0,2,1.79,,,,,,,,1679.4939273972604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140507,30.172602739726027,1679.4754205479453,,0,70.0,2,1.79,,,,,,,,1679.4754205479453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140508,30.175342465753424,1679.4569136986302,,0,70.0,2,1.79,,,,,,,,1679.4569136986302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140509,30.17808219178082,1679.4384068493152,,0,70.0,2,1.79,,,,,,,,1679.4384068493152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140510,30.18082191780822,1679.4199,,0,70.0,2,1.79,,,,,,,,1679.4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140511,30.183561643835617,1679.401393150685,,0,70.0,2,1.79,,,,,,,,1679.401393150685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140512,30.186301369863013,1679.38288630137,,0,70.0,2,1.79,,,,,,,,1679.38288630137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140513,30.18904109589041,1679.364379452055,,0,70.0,2,1.79,,,,,,,,1679.364379452055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140514,30.19178082191781,1679.3458726027397,,0,70.0,2,1.79,,,,,,,,1679.3458726027397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140515,30.194520547945206,1679.3273657534248,,0,70.0,2,1.79,,,,,,,,1679.3273657534248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140516,30.197260273972603,1679.3088589041097,,0,70.0,2,1.79,,,,,,,,1679.3088589041097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
